fixture_id,team,player_id,player_name,minutes_played,rating,position,is_substitute,shots_total,shots_on_goal,goals_total,assists,passes_total,passes_key,passes_accuracy_pct,tackles_total,tackles_interceptions,duels_won
868027,Arsenal,1468,Edward Nketiah,10.0,6.7,F,True,,,,,4.0,,4,,,2.0
868027,Tottenham,159,Hugo Lloris,90.0,6.6,G,False,,,,,25.0,,15,,,2.0
868027,Tottenham,30776,Cristian Romero,90.0,5.9,D,False,,,,,34.0,,26,3.0,,4.0
868027,Tottenham,175,Eric Dier,90.0,6.6,D,False,,,,,40.0,2.0,35,1.0,,3.0
868027,Tottenham,133,Clément Lenglet,71.0,6.2,D,False,,,,,28.0,,21,1.0,,3.0
868027,Tottenham,1566,Emerson Royal,62.0,5.6,M,False,,,,,26.0,,22,1.0,1.0,4.0
868027,Tottenham,2735,Pierre-Emile Højbjerg,75.0,6.7,M,False,1.0,,,,35.0,,31,3.0,1.0,3.0
868027,Tottenham,863,Rodrigo Bentancur,90.0,6.6,M,False,,,,,35.0,,29,2.0,2.0,4.0
868027,Tottenham,207,Ivan Perišić,71.0,6.2,M,False,1.0,,,,12.0,1.0,11,,,
868027,Tottenham,2413,Richarlison,71.0,6.3,F,False,1.0,1.0,,,17.0,1.0,12,1.0,,3.0
868027,Tottenham,186,Heung-min Son,71.0,6.9,F,False,,,,,21.0,1.0,15,,,3.0
868027,Tottenham,184,Harry Kane,90.0,7,F,False,2.0,2.0,1.0,,13.0,,11,,,3.0
868027,Tottenham,18932,Fraser Forster,,,G,True,,,,,,,,,,
868027,Tottenham,168,Davinson Sánchez,19.0,6.6,D,True,,,,,5.0,,2,,1.0,
868027,Tottenham,237129,Pape Matar Sarr,,,M,True,,,,,,,,,,
868027,Tottenham,18742,Matt Doherty,19.0,6.2,D,True,,,,,6.0,,3,,,1.0
868027,Tottenham,19032,Ryan Sessegnon,19.0,6.6,M,True,,,,,3.0,,2,2.0,,2.0
868027,Tottenham,180,Oliver Skipp,15.0,6.3,M,True,,,,,5.0,,3,2.0,,2.0
868027,Tottenham,18968,Yves Bissouma,19.0,6.3,M,True,,,,,2.0,,2,,,
868027,Tottenham,19235,Djed Spence,,,D,True,,,,,,,,,,
868027,Tottenham,2061,Bryan Gil,,,F,True,,,,,,,,,,
868026,Bournemouth,912,Neto,90.0,8.2,G,False,,,,,30.0,,19,,,1.0
868026,Bournemouth,18869,Adam Smith,90.0,7.2,D,False,,,,,45.0,1.0,37,2.0,1.0,2.0
868026,Bournemouth,18866,Chris Mepham,90.0,7.3,D,False,,,,,30.0,,24,2.0,1.0,4.0
868026,Bournemouth,6610,Marcos Senesi,90.0,7.5,D,False,,,,,46.0,1.0,37,2.0,3.0,3.0
868026,Bournemouth,19824,Jordan Zemura,90.0,7.3,D,False,,,,,28.0,,20,3.0,2.0,3.0
868026,Bournemouth,19245,Marcus Tavernier,90.0,6.3,M,False,1.0,,,,28.0,,21,1.0,,2.0
868026,Bournemouth,18872,Lewis Cook,90.0,6.3,M,False,,,,,30.0,,27,1.0,,4.0
868026,Bournemouth,2490,Jefferson Lerma,90.0,7.2,M,False,2.0,1.0,,,67.0,,56,1.0,2.0,5.0
868026,Bournemouth,2734,Philip Billing,90.0,6.3,M,False,1.0,,,,28.0,,21,2.0,,5.0
868026,Bournemouth,19804,Kieffer Moore,72.0,6.9,F,False,,,,,19.0,1.0,14,,,7.0
868026,Bournemouth,18883,Dominic Solanke,90.0,6.6,F,False,1.0,,,,16.0,2.0,14,,,4.0
868026,Bournemouth,18860,Mark Travers,,,G,True,,,,,,,,,,
868026,Bournemouth,20093,James Hill,,,D,True,,,,,,,,,,
868026,Bournemouth,18940,Jack Stephens,,,D,True,,,,,,,,,,
868026,Bournemouth,19769,Jack Stacey,,,D,True,,,,,,,,,,
868026,Bournemouth,19356,Emiliano Marcondes,,,M,True,,,,,,,,,,
868026,Bournemouth,1125,Ryan Christie,18.0,6.3,M,True,,,,,8.0,,7,,,
868026,Bournemouth,196855,Jaidon Anthony,,,F,True,,,,,,,,,,
868026,Bournemouth,19964,Siriki Dembélé,,,M,True,,,,,,,,,,
868026,Bournemouth,19866,Jamal Lowe,,,F,True,,,,,,,,,,
868026,Brentford,19465,David Raya,90.0,6.9,G,False,,,,,45.0,,37,,,
868026,Brentford,1119,Kristoffer Ajer,61.0,6.9,D,False,1.0,,,,47.0,,44,1.0,,2.0
868026,Brentford,19124,Pontus Jansson,64.0,7,D,False,1.0,,,,47.0,,39,,3.0,3.0
